	510050 CH Equity			
	#N/A Requesting Data...	#N/A Requesting Data...	#N/A Requesting Data...	#N/A Requesting Data...
Dates	PX_LAST	PX_OPEN	PX_HIGH	PX_LOW
2015/1/5	2.4689	2.4294	2.5	2.4058
2015/1/6	2.4407	2.4482	2.4962	2.4115
2015/1/7	2.4369	2.4247	2.4689	2.4087
2015/1/8	2.371	2.4473	2.4576	2.3635
2015/1/9	2.3766	2.3635	2.4896	2.3503
2015/1/12	2.354	2.4039	2.4058	2.3145
2015/1/13	2.3399	2.354	2.3766	2.3267
2015/1/14	2.3484	2.3493	2.3823	2.322
2015/1/15	2.435	2.3484	2.4388	2.3305
2015/1/16	2.452	2.4463	2.4802	2.4303
2015/1/19	2.2071	2.2881	2.3211	2.2071
2015/1/20	2.2232	2.2043	2.2599	2.1808
2015/1/21	2.3569	2.2467	2.37	2.2335
2015/1/22	2.3531	2.3635	2.3682	2.3183
2015/1/23	2.3766	2.3672	2.419	2.3531
2015/1/26	2.3719	2.3832	2.3832	2.3399
2015/1/27	2.3333	2.3813	2.3842	2.2938
2015/1/28	2.2994	2.3088	2.3474	2.2928
2015/1/29	2.2599	2.2627	2.2806	2.2401
2015/1/30	2.2288	2.274	2.2909	2.2203
2015/2/2	2.1648	2.1667	2.2053	2.1591
2015/2/3	2.2288	2.193	2.2392	2.1657
2015/2/4	2.1977	2.2363	2.2636	2.1949
2015/2/5	2.1808	2.2787	2.2844	2.178
2015/2/6	2.1572	2.1761	2.1968	2.1375
2015/2/9	2.1949	2.1572	2.2213	2.1469
2015/2/10	2.2307	2.1949	2.2354	2.1855
2015/2/11	2.241	2.2326	2.2486	2.2213
2015/2/12	2.2448	2.2401	2.2514	2.2137
2015/2/13	2.2505	2.2505	2.2872	2.2429
2015/2/16	2.2542	2.2505	2.2627	2.2401
2015/2/17	2.2702	2.2608	2.2872	2.2608
2015/2/25	2.2316	2.2702	2.2702	2.2213
2015/2/26	2.307	2.2297	2.3088	2.2109
2015/2/27	2.2957	2.3041	2.3211	2.2862
2015/3/2	2.2985	2.3126	2.3164	2.2825
2015/3/3	2.226	2.2853	2.2853	2.2222
2015/3/4	2.2241	2.2297	2.242	2.2053
2015/3/5	2.1977	2.2081	2.2137	2.177
2015/3/6	2.2024	2.1987	2.2232	2.1968
2015/3/9	2.2571	2.1657	2.2693	2.1554
2015/3/10	2.2213	2.242	2.2495	2.2175
2015/3/11	2.2354	2.225	2.2693	2.2241
2015/3/12	2.3051	2.2636	2.3277	2.2486
2015/3/13	2.3117	2.3145	2.3493	2.2975
2015/3/16	2.3635	2.3277	2.3663	2.3079
2015/3/17	2.3945	2.3889	2.4002	2.3719
2015/3/18	2.4586	2.4011	2.4614	2.4011
2015/3/19	2.436	2.452	2.4576	2.4247
2015/3/20	2.4812	2.4473	2.5122	2.4256
2015/3/23	2.5198	2.5009	2.5264	2.4925
2015/3/24	2.484	2.5198	2.5216	2.4557
2015/3/25	2.452	2.4764	2.4943	2.4312
2015/3/26	2.4887	2.4388	2.5169	2.4265
2015/3/27	2.4943	2.4953	2.5169	2.468
2015/3/30	2.58	2.5179	2.5913	2.5056
2015/3/31	2.549	2.6205	2.6506	2.5424
2015/4/1	2.5923	2.5546	2.6054	2.5518
2015/4/2	2.5791	2.6177	2.6215	2.5461
2015/4/3	2.6111	2.5668	2.6139	2.565
2015/4/7	2.6761	2.6356	2.6808	2.6252
2015/4/8	2.7288	2.6883	2.741	2.6648
2015/4/9	2.709	2.741	2.8041	2.6996
2015/4/10	2.7646	2.71	2.7759	2.6996
2015/4/13	2.8164	2.8154	2.8333	2.7919
2015/4/14	2.8239	2.8164	2.8474	2.7928
2015/4/15	2.8352	2.8239	2.8983	2.8126
2015/4/16	2.9614	2.8465	2.9633	2.8079
2015/4/17	2.999	3.0508	3.0565	2.9727
2015/4/20	2.9218	3.016	3.0433	2.9096
2015/4/21	2.9576	2.9284	2.9661	2.8992
2015/4/22	3.0518	2.9859	3.0584	2.9633
2015/4/23	3.0245	3.0602	3.0659	2.999
2015/4/24	2.9859	2.9868	3.0056	2.9218
2015/4/27	3.065	3.016	3.0697	3.0085
2015/4/28	3.0395	3.0602	3.1139	3.0122
2015/4/29	3.032	3.032	3.0565	3.0009
2015/4/30	3.0113	3.0461	3.0593	3.0094
2015/5/4	3.0235	3.0132	3.0292	2.9661
2015/5/5	2.9152	3.0216	3.0235	2.903
2015/5/6	2.903	2.9284	3.0019	2.8747
2015/5/7	2.8672	2.9002	2.9096	2.8625
2015/5/8	2.8766	2.8917	2.8983	2.8164
2015/5/11	2.9284	2.8766	2.9341	2.8437
2015/5/12	2.9463	2.9218	2.9595	2.8992
2015/5/13	2.9039	2.9463	2.952	2.8879
2015/5/14	2.8936	2.8973	2.9181	2.8766
2015/5/15	2.8305	2.8936	2.8936	2.8201
2015/5/18	2.774	2.806	2.8239	2.7731
2015/5/19	2.887	2.774	2.8936	2.7683
2015/5/20	2.887	2.9039	2.9444	2.8729
2015/5/21	2.9228	2.9086	2.9322	2.886
2015/5/22	3.0122	2.9557	3.0141	2.936
2015/5/25	3.1102	3.048	3.113	3.0282
2015/5/26	3.1262	3.1337	3.1516	3.0706
2015/5/27	3.0932	3.1393	3.1554	3.0753
2015/5/28	2.8992	3.0932	3.1073	2.8719
2015/5/29	2.887	2.9011	2.9322	2.8211
2015/6/1	3.0113	2.887	3.0226	2.854
2015/6/2	3.0216	3.0075	3.0311	2.9651
2015/6/3	3.0047	3.0179	3.0254	2.9633
2015/6/4	3.0687	3.0047	3.0857	2.8719
2015/6/5	3.064	3.145	3.1544	3.0019
2015/6/8	3.2269	3.0885	3.2467	3.0659
2015/6/9	3.1648	3.257	3.2627	3.1318
2015/6/10	3.1262	3.1224	3.1779	3.0989
2015/6/11	3.1073	3.1393	3.1497	3.0791
2015/6/12	3.1196	3.129	3.1431	3.0791
2015/6/15	3.0282	3.1393	3.1535	3.0226
2015/6/16	2.9642	3.0122	3.0499	2.9294
2015/6/17	2.9896	2.9755	3.0038	2.9322
2015/6/18	2.8644	2.9727	2.9727	2.8531
2015/6/19	2.7062	2.8484	2.8625	2.6977
2015/6/23	2.8022	2.7241	2.8145	2.6365
2015/6/24	2.8418	2.8154	2.8531	2.7495
2015/6/25	2.7486	2.87	2.8813	2.7363
2015/6/26	2.5292	2.693	2.7599	2.4812
2015/6/29	2.5047	2.6102	2.6356	2.3361
2015/6/30	2.6845	2.5047	2.6883	2.4491
2015/7/1	2.5687	2.6459	2.6836	2.532
2015/7/2	2.5273	2.6271	2.6299	2.4294
2015/7/3	2.4284	2.5019	2.5687	2.354
2015/7/6	2.5819	2.6714	2.6714	2.4812
2015/7/7	2.6271	2.5254	2.6554	2.4548
2015/7/8	2.452	2.4482	2.596	2.3644
2015/7/9	2.629	2.3813	2.6893	2.3324
2015/7/10	2.7354	2.5763	2.8343	2.5518
2015/7/13	2.6949	2.6742	2.7768	2.6318
2015/7/14	2.6007	2.6412	2.6732	2.5574
2015/7/15	2.5885	2.5715	2.6149	2.5094
2015/7/16	2.58	2.5894	2.6158	2.5424
2015/7/17	2.6393	2.5951	2.6695	2.5631
2015/7/20	2.6149	2.6309	2.6478	2.597
2015/7/21	2.6064	2.5715	2.6365	2.5715
2015/7/22	2.5772	2.5941	2.6083	2.5612
2015/7/23	2.6309	2.5772	2.6328	2.5772
2015/7/24	2.5847	2.628	2.6412	2.5744
2015/7/27	2.3484	2.5621	2.5631	2.3446
2015/7/28	2.339	2.3013	2.3832	2.2655
2015/7/29	2.3861	2.354	2.3917	2.3183
2015/7/30	2.3248	2.3766	2.3992	2.3164
2015/7/31	2.3183	2.3164	2.3503	2.2938
2015/8/3	2.3333	2.2975	2.3343	2.2787
2015/8/4	2.3917	2.3427	2.3936	2.323
2015/8/5	2.3456	2.3813	2.387	2.3437
2015/8/6	2.3267	2.322	2.3616	2.3079
2015/8/7	2.3578	2.3465	2.3748	2.3352
2015/8/10	2.4633	2.3748	2.4764	2.3682
2015/8/11	2.4388	2.4651	2.4661	2.4265
2015/8/12	2.4143	2.4181	2.4482	2.4068
2015/8/13	2.4256	2.4115	2.4341	2.3757
2015/8/14	2.4247	2.4341	2.4397	2.4143
2015/8/17	2.3992	2.4105	2.4115	2.3766
2015/8/18	2.2693	2.4011	2.4209	2.2505
2015/8/19	2.2853	2.2571	2.2975	2.1921
2015/8/20	2.2232	2.2608	2.2787	2.2222
2015/8/21	2.1412	2.1968	2.2241	2.1346
2015/8/24	1.9275	2.0866	2.0866	1.9275
2015/8/25	1.7759	1.8286	1.9303	1.7599
2015/8/26	1.8324	1.8258	1.9152	1.7693
2015/8/27	1.9868	1.8813	1.9962	1.8474
2015/8/28	2.0414	2.0151	2.0471	1.9746
2015/8/31	2.08	2.0122	2.0838	1.9548
2015/9/1	2.0979	2.0264	2.113	1.9802
2015/9/2	2.1055	2.0198	2.1158	2.0169
2015/9/7	2.0151	2.0866	2.1233	2.0085
2015/9/8	2.0499	1.9962	2.0603	1.9633
2015/9/9	2.08	2.0687	2.0979	2.0508
2015/9/10	2.0772	2.0546	2.0894	2.0508
2015/9/11	2.065	2.0763	2.0904	2.0565
2015/9/14	2.0932	2.081	2.0951	1.9981
2015/9/15	2.0405	2.0527	2.0612	2.0207
2015/9/16	2.1111	2.0424	2.1516	2.0179
2015/9/17	2.0697	2.0923	2.1271	2.0678
2015/9/18	2.0697	2.081	2.0951	2.0631
2015/9/21	2.0829	2.0621	2.0913	2.0508
2015/9/22	2.1064	2.081	2.1271	2.081
2015/9/23	2.0527	2.0659	2.0904	2.0499
2015/9/24	2.0593	2.064	2.0706	2.0452
2015/9/25	2.0442	2.0565	2.0593	2.0198
2015/9/28	2.0471	2.0414	2.0527	2.0216
2015/9/29	2.0028	2.0264	2.0282	1.9953
2015/9/30	2.0216	2.0141	2.0424	2.0132
2015/10/8	2.0678	2.1102	2.112	2.065
2015/10/9	2.0913	2.0763	2.0979	2.0697
2015/10/12	2.1544	2.1045	2.1817	2.096
2015/10/13	2.1459	2.1346	2.1516	2.1337
2015/10/14	2.1262	2.1309	2.1544	2.1243
2015/10/15	2.1695	2.129	2.1723	2.1224
2015/10/16	2.1864	2.1751	2.1968	2.1714
2015/10/19	2.1845	2.1874	2.2081	2.1638
2015/10/20	2.2043	2.178	2.2062	2.1657
2015/10/21	2.1845	2.2006	2.2297	2.1384
2015/10/22	2.1968	2.1893	2.2015	2.1657
2015/10/23	2.2128	2.2006	2.2175	2.1845
2015/10/26	2.2128	2.241	2.2458	2.1949
2015/10/27	2.2109	2.2015	2.2222	2.1685
2015/10/28	2.1732	2.2015	2.2043	2.1704
2015/10/29	2.1761	2.177	2.1883	2.161
2015/10/30	2.1751	2.1704	2.1996	2.1638
2015/11/2	2.1497	2.1572	2.1789	2.1478
2015/11/3	2.1393	2.1544	2.1629	2.1318
2015/11/4	2.2467	2.1441	2.2495	2.1441
2015/11/5	2.3022	2.2363	2.3682	2.2307
2015/11/6	2.3531	2.2985	2.3597	2.2806
2015/11/9	2.3842	2.354	2.4378	2.3512
2015/11/10	2.3738	2.3644	2.4049	2.354
2015/11/11	2.3578	2.37	2.3738	2.3239
2015/11/12	2.3258	2.3635	2.3691	2.3173
2015/11/13	2.3013	2.307	2.3324	2.2957
2015/11/16	2.306	2.2636	2.3107	2.2627
2015/11/17	2.307	2.3164	2.3653	2.3022
2015/11/18	2.2957	2.3079	2.3258	2.2891
2015/11/19	2.3267	2.2985	2.3305	2.2919
2015/11/20	2.3154	2.3248	2.3352	2.3098
2015/11/23	2.307	2.3145	2.3361	2.2787
2015/11/24	2.3013	2.3022	2.3022	2.2759
2015/11/25	2.3107	2.2928	2.3154	2.2815
2015/11/26	2.3041	2.3258	2.3333	2.3004
2015/11/27	2.1827	2.2928	2.2966	2.1619
2015/11/30	2.193	2.1902	2.2081	2.1516
2015/12/1	2.2024	2.194	2.2288	2.1742
2015/12/2	2.3183	2.1987	2.3239	2.1958
2015/12/3	2.3164	2.3088	2.3314	2.2796
2015/12/4	2.258	2.2919	2.3004	2.2476
2015/12/7	2.2505	2.2571	2.2702	2.2373
2015/12/8	2.2279	2.2363	2.2505	2.2137
2015/12/9	2.2307	2.2232	2.2467	2.2156
2015/12/10	2.2175	2.2335	2.2646	2.21
2015/12/11	2.2071	2.2053	2.2203	2.1855
2015/12/14	2.274	2.1874	2.2787	2.1836
2015/12/15	2.2429	2.2627	2.2683	2.2307
2015/12/16	2.2335	2.2467	2.2542	2.2279
2015/12/17	2.2608	2.2448	2.2834	2.2439
2015/12/18	2.2806	2.2561	2.3145	2.2533
2015/12/21	2.3531	2.2665	2.3644	2.2646
2015/12/22	2.3446	2.3503	2.3569	2.3277
2015/12/23	2.3531	2.3446	2.3964	2.3399
2015/12/24	2.3333	2.3503	2.3531	2.307
2015/12/25	2.3409	2.3352	2.3474	2.3258
2015/12/28	2.2712	2.3418	2.3493	2.2674
2015/12/29	2.29	2.2702	2.2919	2.2655
2015/12/30	2.2825	2.2909	2.2919	2.2552
2015/12/31	2.2749	2.2768	2.2919	2.2646
2016/1/4	2.145	2.2702	2.2721	2.1384
2016/1/5	2.1525	2.128	2.1761	2.0998
2016/1/6	2.1817	2.1563	2.1845	2.1422
2016/1/7	2.0499	2.1525	2.1525	2.0386
2016/1/8	2.0894	2.1055	2.1271	2.0301
2016/1/11	2.0009	2.0527	2.0753	1.999
2016/1/12	2.0066	2.0151	2.0292	1.9934
2016/1/13	1.9887	2.0273	2.0386	1.9868
2016/1/14	2.0066	1.9539	2.0141	1.9397
2016/1/15	1.9491	1.9962	2.0066	1.9397
2016/1/18	1.9491	1.9209	1.9736	1.9181
2016/1/19	2.0056	1.9491	2.0169	1.9407
2016/1/20	1.9689	1.9934	2.0009	1.951
2016/1/21	1.9237	1.9539	1.9934	1.9209
2016/1/22	1.9463	1.9444	1.9576	1.9124
2016/1/25	1.9444	1.9491	1.9567	1.9341
2016/1/26	1.8437	1.9322	1.936	1.8361
2016/1/27	1.8427	1.8503	1.8597	1.806
2016/1/28	1.8032	1.8296	1.8531	1.7947
2016/1/29	1.8597	1.806	1.8785	1.806
2016/2/1	1.8286	1.8587	1.8616	1.8126
2016/2/2	1.8597	1.8286	1.8672	1.8258
2016/2/3	1.839	1.8409	1.8474	1.8192
2016/2/4	1.8625	1.8493	1.8691	1.8456
2016/2/5	1.8531	1.8616	1.8663	1.8503
2016/2/15	1.8352	1.8126	1.8446	1.807
2016/2/16	1.8842	1.8418	1.8889	1.8409
2016/2/17	1.8955	1.8823	1.903	1.8785
2016/2/18	1.8936	1.9049	1.9162	1.8908
2016/2/19	1.8889	1.8908	1.8983	1.8776
2016/2/22	1.9341	1.9058	1.9444	1.8974
2016/2/23	1.9115	1.9322	1.9331	1.8983
2016/2/24	1.92	1.9058	1.9237	1.8917
2016/2/25	1.823	1.9143	1.9171	1.8023
2016/2/26	1.8418	1.8324	1.8512	1.8173
2016/2/29	1.8239	1.8333	1.8409	1.7797
2016/3/1	1.8559	1.8267	1.8748	1.8164
2016/3/2	1.9294	1.8587	1.936	1.8587
2016/3/3	1.9331	1.9247	1.9407	1.9162
2016/3/4	1.9981	1.9265	2.0056	1.9209
2016/3/7	1.9877	1.9962	2.0151	1.9736
2016/3/8	1.9915	1.9812	1.9934	1.9162
2016/3/9	1.984	1.951	1.9868	1.9322
2016/3/10	1.9388	1.9623	1.983	1.935
2016/3/11	1.9454	1.9228	1.9501	1.92
2016/3/14	1.9548	1.9595	1.9962	1.951
2016/3/15	1.9755	1.9539	1.9812	1.935
2016/3/16	2.0103	1.9633	2.016	1.9604
2016/3/17	2.0075	2.0066	2.0329	1.9877
2016/3/18	2.0151	2.0103	2.0405	2.0066
2016/3/21	2.064	2.0339	2.0857	2.0282
2016/3/22	2.0424	2.0574	2.065	2.0386
2016/3/23	2.0442	2.0377	2.0584	2.0282
2016/3/24	2.0151	2.0348	2.0348	2.0113
2016/3/25	2.0198	2.0132	2.0311	2.0103
2016/3/28	1.9972	2.0264	2.0414	1.9934
2016/3/29	1.9812	2.0009	2.0113	1.9755
2016/3/30	2.032	1.9972	2.0358	1.9972
2016/3/31	2.0301	2.0377	2.0442	2.0207
2016/4/1	2.0386	2.0264	2.0395	1.9925
2016/4/5	2.048	2.0264	2.0612	2.0207
2016/4/6	2.0386	2.0414	2.048	2.0311
2016/4/7	2.0141	2.0433	2.0499	2.0113
2016/4/8	2	2.0038	2.0094	1.9887
2016/4/11	2.0188	2.0141	2.0395	2.0141
2016/4/12	2.0169	2.0188	2.0235	2.0085
2016/4/13	2.0414	2.0282	2.0687	2.0282
2016/4/14	2.0471	2.0518	2.0621	2.0377
2016/4/15	2.0508	2.0508	2.0584	2.0433
2016/4/18	2.0282	2.0367	2.0442	2.0245
2016/4/19	2.0348	2.0405	2.0433	2.0273
2016/4/20	2.0226	2.0377	2.0424	1.9708
2016/4/21	2.0207	2.0094	2.0424	2.0047
2016/4/22	2.0301	2.0085	2.0329	1.9972
2016/4/25	2.0198	2.0235	2.0282	1.9962
2016/4/26	2.0264	2.0179	2.0367	2.0122
2016/4/27	2.0188	2.0273	2.0301	2.0151
2016/4/28	2.0169	2.0198	2.0282	2.0066
2016/4/29	2.0103	2.0085	2.0188	2.0075
2016/5/3	2.0329	2.0122	2.0414	2.0028
2016/5/4	2.0273	2.0264	2.032	2.0198
2016/5/5	2.0254	2.0198	2.0264	2.0179
2016/5/6	1.9802	2.0254	2.0273	1.9774
2016/5/9	1.9501	1.9746	1.9783	1.9435
2016/5/10	1.9491	1.9463	1.9614	1.9435
2016/5/11	1.9557	1.9548	1.968	1.9463
2016/5/12	1.9614	1.9482	1.967	1.936
2016/5/13	1.9576	1.9491	1.967	1.9491
2016/5/16	1.9595	1.9473	1.9633	1.9416
2016/5/17	1.9557	1.9604	1.9651	1.9482
2016/5/18	1.9567	1.9491	1.9614	1.9322
2016/5/19	1.951	1.9501	1.9633	1.9482
2016/5/20	1.9614	1.9444	1.9623	1.9444
2016/5/23	1.9623	1.9623	1.9764	1.9576
2016/5/24	1.9482	1.9595	1.9595	1.9454
2016/5/25	1.9529	1.9548	1.9633	1.9501
2016/5/26	1.9529	1.9548	1.9642	1.9416
2016/5/27	1.9567	1.9539	1.9623	1.9491
2016/5/30	1.967	1.9548	1.9717	1.9444
2016/5/31	2.0339	1.9689	2.0348	1.9689
2016/6/1	2.0169	2.0339	2.0358	2.0169
2016/6/2	2.0151	2.0151	2.0235	2.0066
2016/6/3	2.0282	2.0169	2.032	2.0122
2016/6/6	2.016	2.0282	2.032	2.0122
2016/6/7	2.0179	2.0198	2.0245	2.0151
2016/6/8	2.0141	2.0179	2.0207	2.0056
2016/6/13	1.9661	1.999	2.0019	1.9651
2016/6/14	1.9783	1.9651	1.9812	1.9642
2016/6/15	1.9859	1.9586	1.9981	1.9557
2016/6/16	1.9793	1.9774	1.9868	1.9746
2016/6/17	1.9859	1.984	2.0009	1.983
2016/6/20	1.9906	1.9915	1.9943	1.9793
2016/6/21	1.9887	1.9953	2.016	1.9868
2016/6/22	2	1.9868	2.0019	1.983
2016/6/23	1.9925	2.0019	2.0028	1.984
2016/6/24	1.968	1.9896	2.0028	1.9473
2016/6/27	1.9877	1.968	1.9887	1.9651
2016/6/28	1.9934	1.983	1.9953	1.9755
2016/6/29	2.0103	1.9953	2.0132	1.9953
2016/6/30	2.0113	2.0151	2.0207	2.0113
2016/7/1	2.0169	2.0169	2.0235	2.016
2016/7/4	2.0499	2.016	2.0584	2.0122
2016/7/5	2.0574	2.048	2.065	2.048
2016/7/6	2.0565	2.0499	2.0584	2.0405
2016/7/7	2.0612	2.0546	2.0678	2.0471
2016/7/8	2.0499	2.0565	2.0593	2.049
2016/7/11	2.0603	2.0537	2.0791	2.0537
2016/7/12	2.1026	2.0603	2.1045	2.0603
2016/7/13	2.1055	2.1064	2.1337	2.1026
2016/7/14	2.1026	2.1064	2.1083	2.0904
2016/7/15	2.1055	2.1045	2.1111	2.097
2016/7/18	2.0979	2.1045	2.1158	2.097
2016/7/19	2.0866	2.096	2.1045	2.0763
2016/7/20	2.08	2.0866	2.0923	2.0781
2016/7/21	2.0904	2.0819	2.0979	2.0819
2016/7/22	2.0716	2.0885	2.0923	2.0706
2016/7/25	2.0725	2.0706	2.081	2.0687
2016/7/26	2.097	2.0725	2.0989	2.0687
2016/7/27	2.0857	2.0979	2.1017	2.0452
2016/7/28	2.0819	2.0744	2.0885	2.065
2016/7/29	2.0725	2.08	2.0829	2.0668
